Nutrient,Required,Amber Bites,Amber Clusters,Amber Crisps,Amber Cubes,Amber Flakes,Amber Loops,Amber Nibbles,Amber Puffs,Amber Swirls,Amber Twists,Azure Bites,Azure Clusters,Azure Crisps,Azure Cubes,Azure Flakes,Azure Loops,Azure Nibbles,Azure Puffs,Azure Swirls,Azure Twists,Cosmic Bites,Cosmic Clusters,Cosmic Crisps,Cosmic Cubes,Cosmic Flakes,Cosmic Loops,Cosmic Nibbles,Cosmic Puffs,Cosmic Swirls,Cosmic Twists,Crystal Bites,Crystal Clusters,Crystal Crisps,Crystal Cubes,Crystal Flakes,Crystal Loops,Crystal Nibbles,Crystal Puffs,Crystal Swirls,Crystal Twists,Dream Bites,Dream Clusters,Dream Crisps,Dream Cubes,Dream Flakes,Dream Loops,Dream Nibbles,Dream Puffs,Dream Swirls,Dream Twists,Lunar Bites,Lunar Clusters,Lunar Crisps,Lunar Cubes,Lunar Flakes,Lunar Loops,Lunar Nibbles,Lunar Puffs,Lunar Swirls,Lunar Twists,Misty Bites,Misty Clusters,Misty Crisps,Misty Cubes,Misty Flakes,Misty Loops,Misty Nibbles,Misty Puffs,Misty Swirls,Misty Twists,Nova Bites,Nova Clusters,Nova Crisps,Nova Cubes,Nova Flakes,Nova Loops,Nova Nibbles,Nova Puffs,Nova Swirls,Nova Twists,Silver Bites,Silver Clusters,Silver Crisps,Silver Cubes,Silver Flakes,Silver Loops,Silver Nibbles,Silver Puffs,Silver Swirls,Silver Twists,Velvet Bites,Velvet Clusters,Velvet Crisps,Velvet Cubes,Velvet Flakes,Velvet Loops,Velvet Nibbles,Velvet Puffs,Velvet Swirls,Velvet Twists
Cost,,6.3,3.99,7.22,10.98,2.94,5.51,7.18,6.68,9.7,5.29,7.71,6.87,9.7,11.36,6.42,3.51,11.95,3.42,11.74,1.18,4.4,9.01,2.21,5.21,5.53,4.76,5.31,5.93,7.83,5.3,8.61,10.76,8.83,5.64,6.48,6.13,2.16,5.68,9.3,6.83,2.08,9.89,11.65,7.34,4.11,11.38,8.39,10.22,11.84,5.59,9.71,9.89,5.79,11.59,10.68,7.11,9.25,11.59,4.8,1.35,5.75,8.12,9.02,9.3,4.49,7.85,8.69,10.26,9.22,1.54,9.52,8.83,2.49,8.64,7.99,10.51,3.82,5.64,6.63,7.34,3.27,8.81,4.4,4.12,7.52,7.07,3.84,4.46,8.06,5.32,8.33,4.22,5.45,3.86,1.11,7.69,8.05,4.1,10.44,5.38
Nutri-A,217,10.0,12.0,0.0,49.0,60.0,0.0,22.0,0.0,53.0,0.0,0.0,0.0,30.0,0.0,33.0,0.0,0.0,41.0,53.0,0.0,19.0,28.0,41.0,52.0,0.0,34.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,14.0,0.0,0.0,2.0,0.0,49.0,0.0,0.0,47.0,51.0,0.0,49.0,10.0,0.0,0.0,14.0,0.0,10.0,30.0,32.0,16.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,33.0,25.0,0.0,0.0,53.0,51.0,0.0,52.0,26.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,41.0,0.0,57.0,0.0,29.0,14.0,57.0,7.0,49.0,0.0,36.0,0.0,0.0,0.0,0.0
Nutri-B,138,0.0,10.0,34.0,0.0,0.0,0.0,13.0,0.0,9.0,24.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,50.0,2.0,38.0,0.0,0.0,9.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,44.0,21.0,11.0,24.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,40.0,31.0,0.0,56.0,0.0,17.0,0.0,0.0,0.0,39.0,0.0,0.0,25.0,0.0,60.0,56.0,0.0,0.0,43.0,21.0,0.0,0.0,10.0,23.0,0.0,23.0,36.0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,0.0,0.0,1.0,35.0,0.0,45.0,0.0,0.0,9.0,0.0,37.0,0.0,0.0,0.0,0.0
Nutri-C,148,0.0,0.0,10.0,28.0,21.0,0.0,0.0,17.0,34.0,0.0,0.0,0.0,0.0,13.0,10.0,0.0,56.0,0.0,52.0,7.0,0.0,0.0,14.0,0.0,0.0,43.0,2.0,20.0,0.0,0.0,0.0,60.0,33.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,19.0,0.0,21.0,0.0,15.0,0.0,29.0,34.0,30.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,57.0,17.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,30.0,23.0,19.0,0.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,3.0,20.0,0.0,37.0,53.0,0.0,60.0,23.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Nutri-D,130,0.0,0.0,0.0,32.0,0.0,0.0,46.0,54.0,0.0,0.0,0.0,51.0,0.0,0.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,37.0,0.0,0.0,41.0,17.0,0.0,52.0,39.0,0.0,31.0,5.0,38.0,0.0,14.0,14.0,10.0,0.0,29.0,58.0,0.0,0.0,20.0,42.0,0.0,0.0,6.0,0.0,0.0,34.0,0.0,51.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,13.0,34.0,0.0,0.0,0.0,58.0,29.0,30.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
Nutri-E,113,0.0,0.0,34.0,0.0,10.0,55.0,0.0,0.0,0.0,23.0,19.0,0.0,0.0,0.0,15.0,0.0,0.0,24.0,0.0,9.0,14.0,0.0,0.0,0.0,32.0,0.0,0.0,6.0,22.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,57.0,0.0,13.0,0.0,0.0,0.0,31.0,30.0,0.0,0.0,7.0,44.0,0.0,0.0,0.0,0.0,0.0,46.0,53.0,0.0,0.0,25.0,39.0,0.0,0.0,0.0,0.0,0.0,50.0,44.0,0.0,0.0,0.0,35.0,0.0,16.0,44.0,25.0,50.0,23.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,25.0,0.0,47.0,0.0,28.0,49.0,39.0,56.0,26.0,0.0,28.0,43.0,0.0,41.0,0.0,0.0,47.0
Nutri-F,141,0.0,0.0,0.0,41.0,0.0,10.0,0.0,0.0,8.0,25.0,54.0,0.0,0.0,10.0,0.0,0.0,39.0,16.0,31.0,1.0,55.0,0.0,0.0,23.0,0.0,8.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,45.0,0.0,0.0,15.0,0.0,44.0,0.0,50.0,0.0,0.0,0.0,3.0,0.0,42.0,40.0,0.0,0.0,22.0,0.0,38.0,0.0,21.0,27.0,0.0,41.0,60.0,0.0,0.0,19.0,31.0,0.0,0.0,0.0,11.0,0.0,42.0,0.0,47.0,11.0,0.0,0.0,15.0,0.0,16.0,0.0,0.0,30.0,0.0,31.0,28.0,54.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,56.0,16.0
Nutri-G,123,0.0,6.0,45.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,33.0,51.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,40.0,50.0,0.0,47.0,21.0,0.0,0.0,15.0,0.0,0.0,47.0,16.0,33.0,42.0,0.0,0.0,54.0,41.0,0.0,0.0,0.0,4.0,12.0,10.0,0.0,25.0,0.0,24.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,27.0,0.0,1.0,27.0,0.0,0.0,48.0,0.0,54.0,26.0,56.0,29.0,4.0,1.0,0.0,18.0,52.0,3.0,25.0,0.0,5.0,39.0,0.0,42.0,29.0,0.0,0.0,57.0,0.0,33.0,0.0,41.0,0.0,0.0,55.0,19.0,0.0,20.0,49.0,25.0,17.0,39.0,58.0,11.0,58.0,0.0
Nutri-H,153,0.0,0.0,0.0,15.0,46.0,0.0,6.0,10.0,0.0,33.0,22.0,27.0,30.0,0.0,0.0,3.0,0.0,40.0,23.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,37.0,35.0,0.0,0.0,35.0,0.0,22.0,34.0,0.0,9.0,0.0,20.0,0.0,0.0,43.0,14.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,60.0,0.0,42.0,0.0,0.0,8.0,37.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,20.0,0.0,31.0,0.0,0.0,0.0,51.0,0.0,0.0,20.0,0.0,1.0,0.0,19.0,0.0,4.0,9.0,0.0,48.0,21.0,0.0,0.0,0.0,49.0,0.0,25.0,55.0
Nutri-I,207,53.0,14.0,6.0,0.0,0.0,0.0,28.0,0.0,47.0,0.0,0.0,27.0,0.0,58.0,0.0,0.0,55.0,0.0,0.0,58.0,0.0,26.0,0.0,39.0,44.0,8.0,1.0,0.0,0.0,0.0,0.0,46.0,0.0,43.0,0.0,13.0,0.0,0.0,25.0,28.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,29.0,51.0,33.0,0.0,42.0,56.0,0.0,16.0,24.0,16.0,0.0,52.0,13.0,0.0,0.0,0.0,47.0,0.0,0.0,43.0,11.0,45.0,28.0,0.0,40.0,4.0,33.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,51.0,44.0,56.0,21.0,0.0,0.0,0.0,43.0,16.0,32.0,16.0,57.0,0.0,0.0
