product,method,revenue
Ham,Fresh,8
Ham,SmokedRegular,14
Ham,SmokedOvertime,11
Ham,Cured,15
Ham,Pickled,7
PorkBelly,Fresh,4
PorkBelly,SmokedRegular,12
PorkBelly,SmokedOvertime,7
PorkBelly,Cured,9
PorkBelly,Pickled,8
Picnic,Fresh,4
Picnic,SmokedRegular,13
Picnic,SmokedOvertime,9
Picnic,Cured,10
Picnic,Pickled,10
Bacon,Fresh,5
Bacon,SmokedRegular,13
Bacon,SmokedOvertime,6
Bacon,Cured,10
Bacon,Pickled,2
Tenderloin,Fresh,6
Tenderloin,SmokedRegular,16
Tenderloin,SmokedOvertime,14
Tenderloin,Cured,12
Tenderloin,Pickled,8
